DATASET,BOT_FOLDERS,BOT_RATIO,MERGED_DATASET,TYPE_SELECTION,TRAIN_RATE,TEST_RATE,VAL_RATE,MODEL,FEATURES,test_Accuracy,test_TN Rate,test_FP Rate,test_FN Rate,test_TP Rate,test_Precision,test_Recall,test_F1 Score,test_MCC,test_AUC,val_Accuracy,val_TN Rate,val_FP Rate,val_FN Rate,val_TP Rate,val_Precision,val_Recall,val_F1 Score,val_MCC,val_AUC,ccp_alpha,class_weight,criterion,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,random_state,splitter,monotonic_cst
cresci_2015,"[1, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,decision_tree,,0.984924623115578,0.3417085427135678,0.0100502512562814,0.0050251256281407,0.6432160804020101,0.9846153846153848,0.992248062015504,0.9884169884169884,0.966894260538591,0.9818383167220376,0.99,0.34,0.01,0.0,0.65,0.9848484848484848,1.0,0.9923664122137404,0.978115512968666,0.9857142857142858,0.0,,entropy,20,,,0.0,1,10,0.0,,random,
cresci_2015,"[1, 1, 1]","[0.4, 0.6]",True,correlation,0.7,0.15,0.15,decision_tree,,0.971264367816092,0.3735632183908046,0.028735632183908,0.0,0.5977011494252874,0.9541284403669724,1.0,0.976525821596244,0.9412631985327956,0.9916895604395604,0.9942857142857144,0.3942857142857143,0.0057142857142857,0.0,0.6,0.9905660377358492,1.0,0.9952606635071092,0.9881371839677032,0.999591836734694,0.0,,entropy,20,,,0.0,1,10,0.0,,random,
cresci-2015,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,decision_tree,,1.0,0.3493975903614458,0.0,0.0,0.6506024096385542,1.0,1.0,1.0,1.0,1.0,0.993975903614458,0.3433734939759036,0.0060240963855421,0.0,0.6506024096385542,0.9908256880733946,1.0,0.9953917050691244,0.9867839107701784,0.9913793103448276,0.0,balanced,gini,20,,,0.0,1,5,0.0,,best,
cresci-2015,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,decision_tree,,0.9879518072289156,0.3433734939759036,0.0060240963855421,0.0060240963855421,0.6445783132530121,0.9907407407407408,0.9907407407407408,0.9907407407407408,0.973499361430396,0.9865900383141762,0.9879518072289156,0.3433734939759036,0.0060240963855421,0.0060240963855421,0.6445783132530121,0.9907407407407408,0.9907407407407408,0.9907407407407408,0.973499361430396,0.991219667943806,0.0,balanced,gini,20,,,0.0,1,5,0.0,,best,
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,decision_tree,,0.9956896551724138,0.3491379310344827,0.0,0.0043103448275862,0.646551724137931,1.0,0.9933774834437086,0.9966777408637874,0.9905872621276316,0.9966887417218544,0.9956989247311828,0.3462365591397849,0.0043010752688172,0.0,0.6494623655913978,0.993421052631579,1.0,0.9966996699669968,0.990571470042352,0.9938650306748466,0.0,balanced,gini,20,,,0.0,1,5,0.0,,best,
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,decision_tree,,0.9935344827586208,0.3491379310344827,0.0,0.0064655172413793,0.6443965517241379,1.0,0.9900662251655628,0.995008319467554,0.9859335784278996,0.9950331125827814,0.9935483870967742,0.3505376344086021,0.0,0.0064516129032258,0.6430107526881721,1.0,0.9900662251655628,0.995008319467554,0.9859885709581836,0.9950331125827814,0.0,balanced,gini,20,,,0.0,1,5,0.0,,best,
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,chi2,0.7,0.15,0.15,decision_tree,,0.9978448275862069,0.3491379310344827,0.0,0.0021551724137931,0.6487068965517241,1.0,0.9966887417218544,0.9983416252072967,0.9952758848001216,0.99833415092797,0.9978494623655914,0.3483870967741935,0.0021505376344086,0.0,0.6494623655913978,0.9966996699669968,1.0,0.9983471074380166,0.9952813411620648,0.9969325153374232,0.0,balanced,gini,20,,,0.0,1,5,0.0,,best,
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,classifier,0.7,0.15,0.15,decision_tree,,0.9892241379310344,0.3426724137931034,0.0064655172413793,0.0043103448275862,0.646551724137931,0.99009900990099,0.9933774834437086,0.9917355371900828,0.9762667907451352,0.9874294824625952,0.9870967741935484,0.3440860215053763,0.0064516129032258,0.0064516129032258,0.6430107526881721,0.9900662251655628,0.9900662251655628,0.9900662251655628,0.9716613171901028,0.9858001868931052,0.0,balanced,gini,20,,,0.0,1,5,0.0,,best,
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,chi2,0.7,0.15,0.15,decision_tree,,0.9892241379310344,0.3469827586206896,0.0021551724137931,0.0086206896551724,0.6422413793103449,0.9966555183946488,0.9867549668874172,0.9916805324459236,0.9764890683244574,0.9902093042269642,0.9956989247311828,0.3505376344086021,0.0,0.0043010752688172,0.6451612903225806,1.0,0.9933774834437086,0.9966777408637874,0.9906243204416352,0.9966684272538904,0.0,balanced,gini,20,,,0.0,1,5,0.0,,best,
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,chi2,0.7,0.15,0.15,decision_tree,,0.9935344827586208,0.3491379310344827,0.0,0.0064655172413793,0.6443965517241379,1.0,0.9900662251655628,0.995008319467554,0.9859335784278996,0.9966887417218544,0.9870967741935484,0.3462365591397849,0.0043010752688172,0.0086021505376344,0.6408602150537634,0.9933333333333332,0.9867549668874172,0.9900332225913622,0.9717842260037882,0.9872425141185552,0.0,balanced,gini,20,,,0.0,1,5,0.0,,best,
cresci-2015,"[0, 1, 1]","[0.35, 0.65]",True,chi2,0.7,0.15,0.15,decision_tree,,0.9879518072289156,0.3493975903614458,0.0,0.0120481927710843,0.6385542168674698,1.0,0.9814814814814816,0.9906542056074766,0.974045908619694,0.990581098339719,0.9819277108433736,0.3373493975903614,0.0120481927710843,0.0060240963855421,0.6445783132530121,0.981651376146789,0.9907407407407408,0.9861751152073732,0.9601747279911256,0.977969348659004,0.0,balanced,gini,20,,,0.0,1,5,0.0,,best,
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,decision_tree,,1.0,0.3491379310344827,0.0,0.0,0.6508620689655172,1.0,1.0,1.0,1.0,1.0,0.9978494623655914,0.3505376344086021,0.0,0.0021505376344086,0.6473118279569893,1.0,0.9966887417218544,0.9983416252072967,0.9952946153504004,0.9983443708609272,0.0,balanced,gini,20,,,0.0,1,5,0.0,,best,
cresci-2015,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,decision_tree,,0.9759036144578314,0.3493975903614458,0.0,0.024096385542168676,0.6265060240963856,1.0,0.9629629629629629,0.9811320754716981,0.949123975142952,0.9811621966794379,0.9819277108433735,0.3493975903614458,0.0,0.018072289156626505,0.6325301204819277,1.0,0.9722222222222222,0.9859154929577465,0.9614613952582542,0.9907407407407407,0.0,balanced,gini,20,,,0.0,1,5,0.0,,best,
