DATASET,BOT_FOLDERS,BOT_RATIO,MERGED_DATASET,TYPE_SELECTION,TRAIN_RATE,TEST_RATE,VAL_RATE,MODEL,FEATURES,test_Accuracy,test_TN Rate,test_FP Rate,test_FN Rate,test_TP Rate,test_Precision,test_Recall,test_F1 Score,test_MCC,test_AUC,val_Accuracy,val_TN Rate,val_FP Rate,val_FN Rate,val_TP Rate,val_Precision,val_Recall,val_F1 Score,val_MCC,val_AUC,algorithm,leaf_size,metric,metric_params,n_jobs,n_neighbors,p,weights
cresci_2015,"[1, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,knn,,0.9949748743718592,0.3517587939698492,0.0,0.0050251256281407,0.6432160804020101,1.0,0.992248062015504,0.9961089494163424,0.9890767094610934,0.996124031007752,0.98,0.35,0.0,0.02,0.63,1.0,0.9692307692307692,0.984375,0.9575175804338616,0.9884615384615384,auto,10,minkowski,,,3,1,uniform
cresci_2015,"[1, 1, 1]","[0.4, 0.6]",True,correlation,0.7,0.15,0.15,knn,,0.9885057471264368,0.4022988505747126,0.0,0.0114942528735632,0.5862068965517241,1.0,0.9807692307692308,0.9902912621359222,0.9764863752380988,0.9903846153846154,1.0,0.4,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,auto,10,minkowski,,,3,1,uniform
cresci-2015,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,knn,,0.6686746987951807,0.1867469879518072,0.1626506024096385,0.1686746987951807,0.4819277108433735,0.7476635514018691,0.7407407407407407,0.7441860465116279,0.2741533091027459,0.6411238825031929,0.6265060240963856,0.1024096385542168,0.2469879518072289,0.1265060240963855,0.5240963855421686,0.6796875,0.8055555555555556,0.7372881355932204,0.1119607547399349,0.5689655172413793,auto,10,minkowski,,,3,1,uniform
cresci-2015,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,knn,,0.6626506024096386,0.1867469879518072,0.1626506024096385,0.1746987951807229,0.4759036144578313,0.7452830188679245,0.7314814814814815,0.7383177570093458,0.2639493304750179,0.6348978288633461,0.6445783132530121,0.1566265060240964,0.1927710843373494,0.1626506024096385,0.4879518072289157,0.7168141592920354,0.75,0.7330316742081447,0.20277693986678,0.6102330779054916,auto,10,minkowski,,,3,1,uniform
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,knn,,0.9913793103448276,0.3469827586206896,0.0021551724137931,0.0064655172413793,0.6443965517241379,0.9966666666666668,0.9900662251655628,0.9933554817275748,0.9811298034933266,0.993479682773281,0.9935483870967742,0.3440860215053763,0.0064516129032258,0.0,0.6494623655913978,0.9901639344262296,1.0,0.9950576606260296,0.985870203592996,0.9936517287612238,auto,10,minkowski,,,3,1,uniform
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,knn,,0.9913793103448276,0.3448275862068966,0.0043103448275862,0.0043103448275862,0.646551724137931,0.9933774834437086,0.9933774834437086,0.9933774834437086,0.981031804431363,0.99037282315428,0.9870967741935484,0.3462365591397849,0.0043010752688172,0.0086021505376344,0.6408602150537634,0.9933333333333332,0.9867549668874172,0.9900332225913622,0.9717842260037882,0.9903912566529884,auto,10,minkowski,,,3,1,uniform
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,chi2,0.7,0.15,0.15,knn,,0.9827586206896552,0.3362068965517241,0.0129310344827586,0.0043103448275862,0.646551724137931,0.9803921568627452,0.9933774834437086,0.986842105263158,0.9620203208231864,0.9870820047420488,0.9913978494623656,0.3462365591397849,0.0043010752688172,0.0043010752688172,0.6451612903225806,0.9933774834437086,0.9933774834437086,0.9933774834437086,0.981107544793402,0.995154999390566,auto,10,minkowski,,,3,1,uniform
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,chi2,0.7,0.15,0.15,knn,,0.9849137931034484,0.3405172413793103,0.0086206896551724,0.0064655172413793,0.6443965517241379,0.9867986798679867,0.9900662251655628,0.9884297520661156,0.9667689966639984,0.9944710162701332,0.9956989247311828,0.3483870967741935,0.0021505376344086,0.0021505376344086,0.6473118279569893,0.9966887417218544,0.9966887417218544,0.9966887417218544,0.990553772396701,0.9967801568276928,auto,10,minkowski,,,3,1,uniform
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,chi2,0.7,0.15,0.15,knn,,0.9870689655172412,0.3405172413793103,0.0086206896551724,0.0043103448275862,0.646551724137931,0.986842105263158,0.9933774834437086,0.99009900990099,0.9715099993206332,0.9903523832883656,0.9806451612903224,0.3354838709677419,0.0150537634408602,0.0043010752688172,0.6451612903225806,0.977198697068404,0.9933774834437086,0.9852216748768472,0.9574606000525188,0.9836773249908584,auto,10,minkowski,,,3,1,uniform
cresci-2015,"[0, 1, 1]","[0.35, 0.65]",True,chi2,0.7,0.15,0.15,knn,,0.6506024096385542,0.1566265060240964,0.1927710843373494,0.1566265060240964,0.4939759036144578,0.7192982456140351,0.7592592592592593,0.7387387387387387,0.2133356229291667,0.6064814814814815,0.6686746987951807,0.1566265060240964,0.1927710843373494,0.1385542168674698,0.5120481927710844,0.7264957264957265,0.7870370370370371,0.7555555555555555,0.2459691487400632,0.620609833971903,auto,10,minkowski,,,3,1,uniform
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,knn,,0.9935344827586208,0.3469827586206896,0.0021551724137931,0.0043103448275862,0.646551724137931,0.9966777408637874,0.9933774834437086,0.9950248756218906,0.9858052312061908,0.9950637723816532,0.989247311827957,0.3419354838709677,0.0086021505376344,0.0021505376344086,0.6473118279569893,0.9868852459016394,0.9966887417218544,0.9917627677100496,0.9763828351188496,0.985993174338764,auto,10,minkowski,,,3,1,uniform
cresci-2015,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,knn,,0.6325301204819277,0.13253012048192772,0.21686746987951808,0.15060240963855423,0.5,0.6974789915966386,0.7685185185185185,0.7312775330396476,0.1564453655921132,0.555874840357599,0.6385542168674698,0.1566265060240964,0.1927710843373494,0.1686746987951807,0.4819277108433735,0.7142857142857143,0.7407407407407407,0.7272727272727273,0.19236228914602274,0.5723180076628352,auto,10,minkowski,,,3,1,uniform
